times,startx,starty,endx,endy,velocity
1.081666667,0.046187255,0.086758658,0.054845664,0.059452592,0.179660886
1.084444444,0.065229503,0.088868243,0.086161827,0.080826878,0.153763033
1.085,0.015352401,0.08086045,0.089303193,0.084911356,0.194189347
1.085833333,0.027531603,0.076882809,0.05432185,0.039994328,0.146409595
1.086666667,0.033861051,0.068348799,0.035114095,0.053123366,0.192971465
1.086944444,0.02461324,0.078492268,0.005954845,0.103637687,0.101187093
1.090277778,0.029568958,0.074725167,0.007332765,0.055626656,0.165138804
1.092777778,0.032624783,0.07374324,0.016317509,0.06529511,0.169965137
1.093333333,0.029873731,0.119042468,0.02738511,0.062786373,0.162176005
1.094166667,0.031094438,0.087809251,0.037474427,0.078478476,0.248124175
1.0975,0.03404261,0.112714007,0.026830826,0.115832404,0.146557555
1.098055556,0.032218422,0.06123806,0.055523162,0.054808047,0.113618652
1.098611111,0.030235439,0.111836709,0.071485276,0.081216994,0.159020102
1.099722222,0.012356034,0.078202018,0.076180837,0.074805164,0.231483377
1.099722222,0.012473165,0.068716314,0.027911296,0.082565425,0.175264792
1.101111111,0.038820478,0.10786314,0.026345722,0.101831011,0.056049279
1.102222222,0.031107014,0.126816898,0.028750171,0.072775716,0.179147363
1.108333333,0.033846817,0.124813195,0.081585717,0.120331332,0.142422247
1.11,0.042983994,0.090574497,0.04593516,0.087192558,0.073784041
1.1125,0.046743802,0.118964925,0.049294735,0.09013754,0.14022088
1.113611111,0.064534822,0.107436422,0.077877265,0.102421895,0.086385701
1.117777778,0.028946196,0.05913709,0.052884062,0.086215056,0.128695232
1.117777778,0.035782224,0.106779473,0.039173067,0.049747209,0.173276083
1.118333333,0.02765796,0.106049858,0.053817076,0.100719025,0.128487093
1.119166667,0.073387275,0.09231394,0.054949319,0.082947268,0.224248928
1.119166667,0.034264987,0.10850577,0.039475572,0.120412389,0.182056861
1.119166667,0.026088779,0.070193013,0.047916843,0.073332062,0.152378946
1.119444444,0.030062165,0.079366863,0.065744295,0.07973978,0.223025493
1.12,0.031751828,0.115616204,0.035685633,0.126504702,0.206328368
1.12,0.021579947,0.067820298,0.013906283,0.074829529,0.110368139
1.120277778,0.028493253,0.068458341,0.024153406,0.051980144,0.197248828
1.120277778,0.028082698,0.10913702,0.048916033,0.112642516,0.229079276
1.120555556,0.029702565,0.109978048,0.030986338,0.057552814,0.157585493
1.120833333,0.031232967,0.13067381,0.038859889,0.084060571,0.225516035
1.121944444,0.035465133,0.053997364,0.05882429,0.073630294,0.18431255
1.123611111,0.02634756,0.071301765,0.029902186,0.079620626,0.110773239
1.123888889,0.058965084,0.104848365,0.051442337,0.100217085,0.374148064
1.123888889,0.0382292,0.123728377,0.087215027,0.111366832,0.14423259
1.124166667,0.026260528,0.140524018,0.020353297,0.142772145,0.110995154
1.125555556,0.031782371,0.115550474,0.026602175,0.104465607,0.14537289
1.1275,0.068696101,0.119175153,0.000758565,0.102943583,0.231332766
1.129166667,0.055949092,0.081863869,0.072291462,0.089512264,0.218710136
1.130833333,0.051236969,0.073591851,0.056894161,0.055243194,0.135270982
1.131111111,0.02710035,0.079639526,0.054139745,0.091497084,0.127141508
1.133611111,0.012058775,0.070096958,0.007227158,0.075335077,0.072469608
1.135,0.018108728,0.086515879,0.038279443,0.07584075,0.146971425
1.135833333,0.015128023,0.073630537,0.005003213,0.081460994,0.134731845
1.135833333,0.029509762,0.127954977,0.04640985,0.077082195,0.202500806
1.136666667,0.022054037,0.079890038,0.035265263,0.09190517,0.171892955
1.138888889,0.012115178,0.069921259,0.025862267,0.060686442,0.16607058
1.139166667,0.028746458,0.1121081,0.047854157,0.073050549,0.165292041
1.143333333,0.028497592,0.068014479,0.002643876,0.054890696,0.221140188
1.147777778,0.02813509,0.130189192,0.007199172,0.111261612,0.118420277
1.148611111,0.05128234,0.072733794,0.05099627,0.083470223,0.090338462
1.148611111,0.029718359,0.110052689,0.041815459,0.119341764,0.191984553
1.150277778,0.031895653,0.116048992,0.00988049,0.06013776,0.293915432
1.151111111,0.029617596,0.1185617,0.029615427,0.118783631,0.001920652
1.151944444,0.034735645,0.106587613,0.045586943,0.099094729,0.134483834
1.154166667,0.031454711,0.087993483,0.043330423,0.09116873,0.409762435
1.155,0.029892605,0.118748377,0.079603918,0.108356025,0.17248068
1.155277778,0.038784246,0.114694335,0.034386099,0.108860701,0.076234628
1.159444444,0.053422312,0.07397634,0.030020346,0.081122535,0.189029029
1.164444444,0.031966712,0.088231391,0.030425124,0.116190146,0.154371209
1.164444444,0.014644083,0.07097857,0.028585874,0.06228431,0.10025434
1.1675,0.03139197,0.110922897,0.025505139,0.128226821,0.178805253
